43	China
47	China
60	China
12	China
7	China
11	China
4	China
3	China
5	China
9	China
6	China
11	China
1	China
5	China
7	China
19	China
5	China
17	China
0	China
3	China
1	China
7	China
11	China
3	China
2	China
12	China
2	China
2	China
9	China
10	China
6	China
9	China
5	China
6	China
7	China
1	China
19	China
15	China
0	China
6	China
2	China
2	China
2	China
3	China
2	China
3	China
12	China
4	China
2	China
26	China
3	China
10	China
15	China
8	China
12	China
15	China
32	China
14	China
18	China
31	China
352	China
50	China
49	China
94	China
112	China
93	China
79	China
55	China
86	China
86	China
56	China
67	China
48	China
62	China
70	China
100	China
54	China
84	China
98	China
113	China
119	China
94	China
102	China
78	China
69	China
138	China
65	China
52	China
99	China
44	China
23	China
43	China
25	China
22	China
19	China
22	China
24	China
29	China
20	China
45	China
46	China
101	China
170	China
117	China
119	China
127	China
205	China
574	China
428	China
329	China
439	China
410	China
515	China
218	China
647	China
826	China
891	China
394	China
1750	China
1890	China
2052	China
2007	China
2538	China
4156	China
15141	China
2028	China
2490	China
2974	China
2607	China
3418	China
3160	China
3727	China
3872	China
3237	China
2812	China
2590	China
2095	China
1980	China
1740	China
1466	China
1753	China
787	China
665	China
441	China
259	China
97	China
140	China
151	China
19	China
136	China
17	China
4	China
0	China
0	China
0	China
0	China
0	China
0	China
0	China
0	China
0	China
0	China
0	China
15	China
0	China
17	China
0	China
0	China
27	China
10667	India
11502	India
11929	India
11458	India
10956	India
9996	India
9985	India
9987	India
9983	India
9971	India
9887	India
9851	India
9304	India
8909	India
8171	India
8392	India
8380	India
7964	India
7466	India
6566	India
6387	India
6535	India
6977	India
6767	India
6654	India
6088	India
5609	India
5611	India
4970	India
5242	India
4987	India
3970	India
3967	India
3722	India
3525	India
3604	India
4213	India
3277	India
3320	India
3390	India
3561	India
2958	India
3900	India
2553	India
2644	India
2293	India
1993	India
1718	India
1897	India
1543	India
1396	India
1990	India
1429	India
1684	India
1409	India
1384	India
1335	India
1553	India
1334	India
991	India
1007	India
942	India
1075	India
1211	India
796	India
909	India
1035	India
678	India
540	India
773	India
354	India
693	India
472	India
601	India
336	India
568	India
146	India
180	India
92	India
106	India
149	India
75	India
87	India
70	India
53	India
119	India
89	India
40	India
26	India
28	India
12	India
32	India
3	India
7	India
8	India
2	India
23	India
6	India
10	India
3	India
2	India
1	India
22	India
1	India
2	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
1	India
0	India
1	India
0	India
0	India
1	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
0	India
301	Italy
338	Italy
346	Italy
163	Italy
379	Italy
202	Italy
283	Italy
280	Italy
197	Italy
270	Italy
518	Italy
177	Italy
321	Italy
318	Italy
178	Italy
355	Italy
416	Italy
516	Italy
593	Italy
584	Italy
397	Italy
300	Italy
531	Italy
669	Italy
652	Italy
